windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
8500,25,175,7500,0.17279038158002716
8500,25,200,7500,0.17279038158002716
8500,25,225,7500,0.17279038158002716
8500,25,250,7500,0.17279038158002716
8500,25,175,8000,0.17249063301383624
8500,25,200,8000,0.17249063301383624
8500,25,225,8000,0.17249063301383624
8500,25,250,8000,0.17249063301383624
9000,25,200,8500,0.17243452148946803
9000,25,225,8500,0.17243452148946803
9000,25,250,8500,0.17243452148946803
7500,20,150,7500,0.17239178441737776
7500,20,175,7500,0.17239178441737776
7500,20,200,7500,0.17239178441737776
7500,20,225,7500,0.17239178441737776
7500,20,250,7500,0.17239178441737776
9000,25,175,6000,0.17232603976946684
7500,20,150,8000,0.1720929669091592
7500,20,175,8000,0.1720929669091592
7500,20,200,8000,0.1720929669091592
7500,20,225,8000,0.1720929669091592
7500,20,250,8000,0.1720929669091592
9000,25,175,6500,0.17187548220614798
9000,25,175,7000,0.17157557429632486
8500,25,175,8500,0.1715406468706804
8500,25,200,8500,0.1715406468706804
8500,25,225,8500,0.1715406468706804
8500,25,250,8500,0.1715406468706804
8500,20,175,9000,0.1713552985376994
8500,20,200,9000,0.1713552985376994
8500,20,225,9000,0.1713552985376994
8500,20,250,9000,0.1713552985376994
9000,25,175,7500,0.17127603662415977
9000,20,175,9000,0.17126238736585858
8000,25,175,6500,0.17123644575238528
8000,25,200,6500,0.17123644575238528
8000,25,225,6500,0.17123644575238528
8000,25,250,6500,0.17123644575238528
7500,20,150,8500,0.1711423816008473
7500,20,175,8500,0.1711423816008473
7500,20,200,8500,0.1711423816008473
7500,20,225,8500,0.1711423816008473
7500,20,250,8500,0.1711423816008473
8000,25,175,6000,0.17103068917369876
8000,25,200,6000,0.17103068917369876
8000,25,225,6000,0.17103068917369876
8000,25,250,6000,0.17103068917369876
8000,25,175,7000,0.17093652929253653
8000,25,200,7000,0.17093652929253653
8000,25,225,7000,0.17093652929253653
8000,25,250,7000,0.17093652929253653
9000,25,175,8000,0.17082742281317995
8000,25,175,7500,0.17048735377481541
8000,25,200,7500,0.17048735377481541
