genericOrSpecificParsing,verbAssociatorUsed,verbAssociatorProximityBasedOrSyntacticBased,hypernymMutation,closedOrMaximalPattern,secondElapsed
false,true,false,true,true,57.59
false,true,true,false,true,56.15
